,vintage.id,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
8,87010871,chateau-clerc-milon,Château Clerc Milon,Pauillac (Grand Cru Classé),2016,4.0,Pauillac,pauillac,bordeaux
9,101388381,chateau-carbonnieux,Château Carbonnieux,Pessac-Léognan,2016,3.9,Pessac-Léognan,pessac-leognan,bordeaux
10,4029457,chateau-ferriere,Château Ferrière,Margaux (Grand Cru Classé),2014,3.8,Margaux,margaux,bordeaux
11,15441103,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2015,4.1,Pomerol,pomerol,bordeaux
12,1996191,chateau-la-lagune,Château La Lagune,Haut-Médoc (Grand Cru Classé),2010,4.3,Haut-Médoc,haut-medoc,bordeaux
13,2286370,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
14,156414694,domaine-tempier,Domaine Tempier,Bandol Rosé,2018,4.2,Bandol,bandol,provence
15,9871061,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2014,3.8,Médoc,medoc,bordeaux
16,20066457,chateau-monbrison,Château Monbrison,Margaux,2014,3.8,Margaux,margaux,bordeaux
17,2150766,deutz,Deutz,Rosé Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
18,1330056,haut-brion,Château Haut-Brion,Pessac-Léognan (Premier Grand Cru Classé),2010,4.6,Pessac-Léognan,pessac-leognan,bordeaux
19,12440156,la-mondotte,La Mondotte,Saint-Emilion Grand Cru (Premier Grand Cru Classé),2012,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
20,15710330,figeac,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2015,4.5,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
21,98592987,fr-chateau-darmailhac,Château d'Armailhac,Pauillac (Grand Cru Classé),2016,4.0,Pauillac,pauillac,bordeaux
22,2260905,besserat-de-bellefon,Besserat de Bellefon,Brut Champagne,N.V.,4.0,Champagne,champagne,champagne
23,91210,chateau-lafite-rothschild,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1995,4.7,Pauillac,pauillac,bordeaux
24,17967896,chateau-dassault,Château Dassault,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
0,4029457,chateau-ferriere,Château Ferrière,Margaux (Grand Cru Classé),2014,3.8,Margaux,margaux,bordeaux
1,15441103,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2015,4.1,Pomerol,pomerol,bordeaux
2,1996191,chateau-la-lagune,Château La Lagune,Haut-Médoc (Grand Cru Classé),2010,4.3,Haut-Médoc,haut-medoc,bordeaux
3,2286370,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
4,156414694,domaine-tempier,Domaine Tempier,Bandol Rosé,2018,4.2,Bandol,bandol,provence
5,9871061,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2014,3.8,Médoc,medoc,bordeaux
6,20066457,chateau-monbrison,Château Monbrison,Margaux,2014,3.8,Margaux,margaux,bordeaux
7,2150766,deutz,Deutz,Rosé Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
8,1330056,haut-brion,Château Haut-Brion,Pessac-Léognan (Premier Grand Cru Classé),2010,4.6,Pessac-Léognan,pessac-leognan,bordeaux
9,12440156,la-mondotte,La Mondotte,Saint-Emilion Grand Cru (Premier Grand Cru Classé),2012,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
10,15710330,figeac,Château Figeac,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2015,4.5,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
11,98592987,fr-chateau-darmailhac,Château d'Armailhac,Pauillac (Grand Cru Classé),2016,4.0,Pauillac,pauillac,bordeaux
12,2260905,besserat-de-bellefon,Besserat de Bellefon,Brut Champagne,N.V.,4.0,Champagne,champagne,champagne
13,91210,chateau-lafite-rothschild,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1995,4.7,Pauillac,pauillac,bordeaux
14,17967896,chateau-dassault,Château Dassault,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
15,18877772,chateau-la-tour-carnet,Château La Tour Carnet,Haut-Médoc (Grand Cru Classé),2015,4.0,Haut-Médoc,haut-medoc,bordeaux
16,24547694,la-mondotte,La Mondotte,Saint-Emilion Grand Cru (Premier Grand Cru Classé),2015,4.5,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
17,17165222,la-mission-haut-brion,Château La Mission Haut-Brion,Pessac-Léognan (Grand Cru Classé de Graves),2015,4.6,Pessac-Léognan,pessac-leognan,bordeaux
18,131139373,chateau-leoville-las-cases,Château Léoville Las Cases,Clos du Marquis Saint-Julien,2016,4.1,Saint-Julien,saint-julien,bordeaux
19,1495336,chateau-la-tour-carnet,Château La Tour Carnet,Haut-Médoc (Grand Cru Classé),2010,3.9,Haut-Médoc,haut-medoc,bordeaux
20,150426879,chateau-de-beaucastel,Château de Beaucastel,Châteauneuf-du-Pape,2017,4.3,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
21,14554658,chateau-trotanoy,Château Trotanoy,Pomerol,2015,4.4,Pomerol,pomerol,bordeaux
22,141581203,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2015,3.7,Médoc,medoc,bordeaux
23,3085744,chateau-mouton-rothschild,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2008,4.5,Pauillac,pauillac,bordeaux
24,150355234,chateau-mouton-rothschild,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2017,4.6,Pauillac,pauillac,bordeaux
0,22209899,chateau-lagrangefr,Château Lagrange,Pomerol,2015,4.1,Pomerol,pomerol,bordeaux
1,3324860,chateau-montrose,Château Montrose,Saint-Estèphe (Grand Cru Classé),2010,4.4,Saint-Estèphe,saint-estephe,bordeaux
2,150371625,chateau-montrose,Château Montrose,Saint-Estèphe (Grand Cru Classé),2017,4.2,Saint-Estèphe,saint-estephe,bordeaux
3,17696209,chateau-les-carmes-haut-brion,Château les Carmes Haut-Brion,Pessac-Léognan,2015,4.0,Pessac-Léognan,pessac-leognan,bordeaux
4,1412280,chateau-margaux,Château Margaux,Pavillon Rouge du Château Margaux,1999,4.5,Margaux,margaux,bordeaux
5,1467748,cheval-blanc,Château Cheval Blanc,Le Petit Cheval Saint-Émilion Grand Cru,2006,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
6,3669266,chateau-pavie-macquin,Château Pavie Macquin,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
7,15972675,vieux-telegraphe,Domaine du Vieux Télégraphe,Châteauneuf-du-Pape (La Crau),2015,4.4,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
8,86368541,chateau-palmer,Château Palmer,Margaux (Grand Cru Classé),2016,4.7,Margaux,margaux,bordeaux
9,142448804,sansonnet,Château Sansonnet,Saint-Émilion Grand Cru (Grand Cru Classé),2016,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
